2026-05-24 00:58:52,707 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-24 00:58:52,707 | INFO | preprocessing | Loading raw dataset
2026-05-24 01:01:33,965 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-24 01:01:40,282 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-24 01:01:40,968 | INFO | preprocessing | Removed 15 leakage columns
2026-05-24 01:01:41,147 | INFO | preprocessing | Creating default target
2026-05-24 01:01:41,412 | INFO | preprocessing | Processing date columns
2026-05-24 01:01:41,628 | INFO | preprocessing | Processing employment length
2026-05-24 01:01:41,911 | INFO | preprocessing | Processing percentage columns
2026-05-24 01:01:43,292 | INFO | preprocessing | Creating risk features
2026-05-24 01:01:43,339 | INFO | preprocessing | Dropping high null columns
2026-05-24 01:01:44,444 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-24 01:01:44,576 | INFO | preprocessing | Handling missing values
2026-05-24 01:01:48,558 | INFO | preprocessing | Encoding categorical columns
2026-05-24 01:01:56,583 | INFO | preprocessing | Selecting final features
2026-05-24 01:01:56,671 | INFO | preprocessing | Optimizing memory
2026-05-24 01:01:56,944 | INFO | preprocessing | Preprocessing completed
2026-05-24 01:01:56,944 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-24 01:01:56,944 | INFO | main | Training PD model...
2026-05-24 01:01:56,944 | INFO | risk_model | Preparing train/test datasets
2026-05-24 01:01:57,388 | INFO | risk_model | Training XGBoost model
2026-05-24 01:02:04,136 | INFO | risk_model | Training completed
2026-05-24 01:02:04,136 | INFO | risk_model | Evaluating model
2026-05-24 01:02:04,788 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 01:02:04,788 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 01:02:05,810 | INFO | main | Running ECL engine...
2026-05-24 01:02:05,810 | INFO | ecl_engine | Running IFRS9 engine
2026-05-24 01:02:30,945 | INFO | ecl_engine | IFRS9 calculation completed
